4300 5703.497 1007.07815707
1300 6441.1775 557.379530669
2650 6611.381 381.089124784
3650 5684.911 1212.08030333
3550 5790.4475 1278.3522782
3250 6613.127 410.488340591
4900 6045.2325 576.722733208
0 7137.0335 1223.34735517
2150 6260.6235 525.353312355
3850 5539.755 1270.37361851
400 6573.154 542.723916337
1700 6705.402 504.431404926
2850 6589.8335 542.90395439
4500 5808.3355 948.317213281
1150 6535.666 493.585066472
3800 5698.5165 1097.67181481
3400 6284.8965 962.877276943
1950 6667.1195 452.208693299
2550 6549.676 455.60713656
1550 6387.0535 495.12783385
5300 6061.6335 393.288546455
4400 5599.8555 989.597146941
50 6510.1385 587.643385109
1750 6572.119 526.506699947
2250 6422.6335 526.880639607
2900 6482.486 638.775744189
5150 6161.109 473.874997451
700 6294.2605 553.358960843
4650 5908.8925 718.971486506
4200 5641.066 1053.96839223
2800 6471.5605 519.12518404
3300 6588.0415 519.126683202
4800 5942.5795 859.69156061
5250 6183.679 562.536171467
1850 6633.032 450.887305982
2300 6485.9905 500.680849758
1250 6457.507 549.230265318
1650 6592.5445 577.546784291
1400 6384.6925 467.855902719
5000 6128.4135 636.792057585
2600 6277.17 530.34417144
1100 6374.5795 541.275694628
300 6478.2935 596.06177342
3950 5532.568 1195.03210797
3150 6541.561 563.668482398
100 6565.7565 641.697332543
4350 5527.4515 887.132092331
900 6426.384 579.080031381
4050 5526.517 1028.77307761
3500 6228.6325 1151.62820929
4700 5751.2425 774.702607714
4950 6002.999 624.401109191
1000 6534.793 481.514127208
450 6538.2875 528.339123157
3750 6193.0225 1078.8218407
2450 6557.492 558.344360763
4100 5393.9675 974.295622734
3000 6402.151 483.10701124
250 6567.3445 473.294197688
1900 6312.2575 568.914702964
2200 6336.414 653.813184942
2050 6532.4275 453.792292573
3450 6193.537 1144.16686219
850 6409.538 568.88776652
1500 6439.51 537.981593681
650 6441.046 552.771330013
500 6416.6925 447.426257621
3600 6146.919 1101.41146269
2400 6472.3525 527.767029539
1350 6600.2595 454.717709766
1200 6440.173 541.867671688
5100 6030.965 741.887321717
2950 6427.8235 589.333303066
4600 5822.685 945.980329206
3200 6349.772 799.255280925
5400 6110.727 433.636839119
4750 5836.0255 745.502884847
4450 5861.7265 814.339435274
1450 6459.4235 576.112991975
2750 6455.8395 529.585306778
2350 6535.922 503.219983343
2100 6652.856 484.253223865
150 6292.7595 520.344336834
3900 5697.922 1185.00660868
600 6618.51 471.762703613
550 6403.6825 499.273803557
750 6184.1715 560.75443945
5050 5832.373 576.206141681
1050 6467.578 473.691312603
5350 6115.416 492.284657677
4000 5519.3555 1072.57821288
950 6752.712 448.007757674
3100 6020.0345 1024.52197537
4550 5612.4305 681.857706633
2500 6524.936 564.439348313
200 6329.46 575.314417932
4250 5652.001 1047.42428891
2700 6445.068 593.435109912
5200 5990.9515 488.547666091
3350 6096.897 1100.60500081
3700 6152.1485 1128.05804975
3050 6525.1505 571.541950739
4150 5563.226 1084.26579011
1800 6633.8155 459.697760202
1600 6525.728 572.32360767
2000 6372.1185 684.164331256
350 6480.9935 627.474619704
800 6406.7025 528.469563664
4850 5851.5345 733.440632134
